Plant,ABC,Material,SLOC,Bin,QTY,Last Count,Cost,Description
US53,C,269823.001,DE01,RIC-A3,0,,0.13,INSERT FTG TUBE 1/4 ID TUBE
US53,C,269832.002,1000,,0,,3.65,TERM BLK 5 POSITION
US53,C,269832.002,DE01,K42-I1,0,,3.65,TERM BLK 5 POSITION
US53,C,269837.002,1000,,0,,155,PUMP 24VDC BRUSHLESS
US53,C,269837.002,DE01,A2-D,216,,155,PUMP 24VDC BRUSHLESS
US53,C,269906.001,1000,,0,,0.15,CONN BODY PIN/SKT 4POSN
US53,C,269906.001,DE01,RIC-A2,0,,0.15,CONN BODY PIN/SKT 4POSN
US53,C,270117.003,1000,,0,,53,SWITCH FLOW 100 PSI MAX
US53,C,270117.003,DE01,K42-C2,92,,53,SWITCH FLOW 100 PSI MAX
US53,C,270900.001,1000,,0,,161,BUBBLE WRAP 3/16IN PC 220 ANTI-STAT
US53,C,270900.001,DE01,,0,,161,BUBBLE WRAP 3/16IN PC 220 ANTI-STAT
US53,C,271212.001,1000,,0,,24.25,FAN BRUSHLESS 24VDC
US53,C,271212.001,DE01,A2-E,291,,24.25,FAN BRUSHLESS 24VDC
US53,C,271213.001,1000,,0,,16.16,SWITCH TEMPERATURE (OPEN @ 130F
US53,C,271213.001,DE01,K42-F2,242,,16.16,SWITCH TEMPERATURE (OPEN @ 130F
US53,,271630.008,1000,,0,,0.3,O-RING .799 ID X .103 W BUNA-N
US53,,271637.001,1000,,0,,3.01,CAPTIVE SCREW #4-40 UNC 303 SST
US53,C,280690.004,1000,,0,,0.2,BUMPER RUBBER BLK .81SQ X.30H
US53,C,280690.004,DE01,K42-B1,0,,0.2,BUMPER RUBBER BLK .81SQ X.30H
US53,C,297835.039,1000,,0,,0.03,CONT PIN MOD 18-22AWG
US53,C,297835.039,DE01,RIC-A3,0,,0.03,CONT PIN MOD 18-22AWG
US53,C,299136.001,1000,,0,,0.04,CABLE TIE MINIATURE 5.5LG
US53,C,299136.001,DE01,RIC-A2,0,,0.04,CABLE TIE MINIATURE 5.5LG
US53,C,299363.052,1000,,0,,40.25,LUBRICANT GREASE HTSINK DOW CORNING
US53,C,299363.052,DE01,RIC-A2,0,,40.25,LUBRICANT GREASE HTSINK DOW CORNING
US53,C,320610,1000,,0,,174.54,DETECTOR UNIT MINICAL 4 ML
US53,C,320610.01,1000,I6-B,0,,24.44,DETECTOR HOLDER
US53,C,320610.02,1000,,0,,23.77,AMPOULE HOLDER MEASURE CPL.
US53,C,320610.0201,1000,I6-B,0,,21.38,AMPOULE HOLDER MEASURE MINI
US53,C,320610.0202,1000,,0,,2.39,RESISTOR COMPL. FOR AMPOULE HOLDER
US53,C,320610.03,1000,,0,,25.25,AMPOULE HOLDER REFERENCE CPL.
US53,C,320610.0301,1000,I6-B,0,,22.86,AMPOULE HOLDER REFERENCE MINI
US53,C,332723.901,1000,D6-B,6,4/15/2024,10.13,WinTest DMA Application for Electroforce
US53,A,401041.901,1000,,0,4/10/2019,"3,864.23",FCO LN2 OPTION
US53,C,401084.901,1000,,0,,126.75,HARNESS CTR PRT OVEN (W45)
US53,C,401616.901,1000,,0,,72.56,HARNESS PRT OVEN (W18)
US53,C,401764.901,1000,,0,2/2/2022,147.85,HARNESS GUN HEATER OVEN (W20)
US53,A,401892.901,1000,R2-C,2,11/5/2024,"5,002.80",ARES /RSA G2 FORCE CONVECTION OVEN (FCO)
US53,C,402041.901,1000,D7-B,28,,2.48,SOFTWARE-TRIOS
US53,B,404041.901,1000,R2-C,1,11/7/2024,"2,515.59",ARES-G2/RSA-G2 FCO AIR CHILLER PANEL
US53,,533421.001,1000,,0,,44.44,POWER HARNESS
US53,,533608.901,1000,,0,,710.04,HR OSP CUP ASSEMBLY - BOXED
US53,,534072.901,1000,,0,,"2,016.11",HRX0 DWR APP KIT
US53,,534301.982,1000,,0,,"2,456.57",HR 1 MOTOR BEARING REMAN
US53,,534640.941,1000,,0,,551.3,HRX0 OSP UPPER GEOMETRY SOLID SM-SW
US53,,545844.901,1000,,0,,584.81,UPPER HEATED PLATE (UHP) ASSY MK2
US53,C,604102.001,1000,I6-B,0,,0.17,CABLE 0.049X1 UNSHIELDED BLACK FEP
US53,C,604103.001,1000,I6-B,0,,0.17,CABLE 0.049X1 UNSHIELDED GREEN FEP
US53,C,604104.001,1000,I6-B,0,,0.17,CABLE 0.049X1 UNSHIELDED BLUE/PURPLE FEP
US53,C,604105.001,1000,I6-B,0,,0.17,CABLE 0.049X1 UNSHIELDED YELLOW FEP
US53,C,604131.001,1000,I6-B,0,,0.18,SCREW M1 X 4 SS PFHD
US53,C,700732.001,1000,H7-A,0,3/23/2023,257.5,ESG IQ/OQ MANUAL 3300
US53,C,760285.901,1000,D6-B,6,5/30/2023,10.13,WinTest Software for Electroforce System
US53,C,761561.901,1000,,0,,10.25,WinTest 9 Software Electroforce System
US53,C,810522.01,1000,I6-B,0,,2.39,RESISTOR 200 OHM 0.05%
US53,C,813110.1027,1000,I6-B,0,,49.05,PELTIER MODULE 1MD04-127-15
US53,C,815600.15,1000,I6-B,0,,0.02,CABLE COATED COPPER 0.15MM2
US53,C,815720.01,1000,I6-B,0,,6.73,HEAT SHRINK TUBE 2MM PTFE
US53,C,841925.01,1000,I6-B,0,,64.8,SIL-PAD 1500ST (SHEET)
US53,C,880104,1000,,0,,450.89,ADHESIVE DC Q1-9226 2 KG KIT
US53,C,920097.001,1000,,0,,0.75,NAMEPLATE LOGO Q-SERIES
US53,C,920097.001,DE01,RIC-BTM,0,,0.75,NAMEPLATE LOGO Q-SERIES
US53,,920239.901,1000,,0,,4.94,HARNESS TOUCH SCREEN 6.4 (W5)
US53,C,922097.001,1000,I6-C,53,,3.5,TA NAMEPLATE
US53,C,924119.901,1000,"R6-C,R6-B",17,11/7/2024,119.99,MONITOR FLAT PANEL 24 IN
US53,C,952170.901,1000,,0,,3.15,ASSY BRKT FAB EXCHANGER
US53,C,952170.901,DE01,K42-G,292,,3.15,ASSY BRKT FAB EXCHANGER
US53,C,952199.001,1000,,0,,1,GASKET RESERVOIR TGA HEAT EXCHANGER
US53,C,952199.001,DE01,RIC-A2,0,,1,GASKET RESERVOIR TGA HEAT EXCHANGER
US53,C,953171.901,1000,,0,,6,HARNESS TGA HE INTERCONNECT (W24)
US53,C,953171.901,DE01,K42-C1,180,,6,HARNESS TGA HE INTERCONNECT (W24)
US53,C,953260.901,1000,,0,,485.08,TA HEAT EXCHANGER
US53,C,953260.901,DE01,,18,,485.08,TA HEAT EXCHANGER
US53,C,953260.904,1000,,0,,485.08,TA HEAT EXCHANGER UNTD
US53,C,953260.904,DE01,,0,,485.08,TA HEAT EXCHANGER UNTD
US53,C,953260.905,1000,,0,,153.75,FAN HEAT EXCHANGER
US53,C,953260.905,DE01,,0,,153.75,FAN HEAT EXCHANGER
US53,C,953261.901,1000,,0,,48.62,HEAT EXCHANGER TOP AND BASE
US53,C,953261.901,DE01,P1-A,9,,48.62,HEAT EXCHANGER TOP AND BASE
US53,C,953266.001,1000,,0,,21.89,RESERVOIR TGA HT XCHGR EXTERNAL FILL
US53,C,953266.001,DE01,A2-C,37,,21.89,RESERVOIR TGA HT XCHGR EXTERNAL FILL
US53,C,953553.901,1000,,0,,11.32,HEAT EXCHANGER TGA INPUT HARNESS
US53,C,953553.901,DE01,K42-F1,292,,11.32,HEAT EXCHANGER TGA INPUT HARNESS
US53,C,953554.901,1000,,0,,17.21,HEAT EXCHANGER DC INPUT HARNESS
US53,C,953554.901,DE01,K42-B2,138,,17.21,HEAT EXCHANGER DC INPUT HARNESS
US53,C,956385.001,1000,B2-E,0,,19.1,BULB HALOGEN 120V 250 W CUSTOM
US53,C,956385.001,DE01,B2-E,181,,19.1,BULB HALOGEN 120V 250 W CUSTOM
US53,C,956387.901,1000,,0,,84.6,KIT HALOGEN BULBS - CERAMIC WRAP
US53,C,956387.901,DE01,,0,,84.6,KIT HALOGEN BULBS - CERAMIC WRAP
US53,C,956395.901,1000,,0,,19.1,BULB HALOGEN CERAMIC YARN WRAPPED
US53,C,956395.901,DE01,,0,,19.1,BULB HALOGEN CERAMIC YARN WRAPPED
US53,C,956396,1000,,25,,0.01,INSTR REPLACING IR BULBS TGA IR FURNACE
US53,C,956396,DE01,PRINT,0,,0.01,INSTR REPLACING IR BULBS TGA IR FURNACE
US53,,957352.901,1000,,0,,315.07,KIT SEALED ALUMINUM PANS
US53,C,957368.001,1000,B2-E,0,,7.39,INSERT FOAM DIE CUT QUARTZ LAMPS
US53,C,957368.001,DE01,B2-E,75,,7.39,INSERT FOAM DIE CUT QUARTZ LAMPS
US53,C,957369,DE01,,0,,0.01,INSTR REPLACING IR BULBS Q-5000 TGA
US53,C,982166.004,1000,,0,,7,SAMPLE COMPLIANCE SINGLE CANTILEVER
US53,C,984308.004,1000,,5,,4,DMA CALIBRATION STD .030 THICK
US53,C,999888.03,1000,,0,11/28/2023,100,NON-STD (SERVICE) ELECTROFORCE
US53,,290002463,1000,,0,,175.5,Xevo TQ Absolute Shipping Pack
US53,C,000059.002,DE01,RIC-A3,0,,0.18,LABEL WEEE SYMBOL WHITE
US53,C,000337.001,1000,B2-E,0,,0.01,LBL STANDARD PART
US53,C,000337.001,DE01,B2-E,0,,0.01,LBL STANDARD PART
US53,C,171386-001,1000,,0,,0.3,"ADHESIVE,EPOXY,LT115,60Z"
US53,C,171386-002,1000,,0,,0.01,"ADHESIVE,EPOXY,LT115,12OZ"
US53,B,210282-X,1000,,0,,572.5,"WEDGE, GRIP 0-4mm"
US53,C,260948-001,1000,,0,,0.44,"LABEL,BLANK,1.25x2.5"
US53,C,285306-001,1000,,0,,0.01,"ASSY, LM1 SERIES II"
US53,C,285306-002,1000,E6-E,0,,476.58,"MOTOR ASSY,CUST REF"
US53,C,285306-003,1000,,0,,0.01,"CUSTOMER REF DATA,MOTOR ASSEMBLY"
US53,C,285306-004,1000,F3-B,0,,569.07,MOTOR ASSY
US53,A,285306-0050,1000,V2-B,14,11/5/2024,726.5,"MOTOR ASSY,LM1"
US53,C,285307-001,1000,,0,,0.01,MAGNET
US53,C,285307-002,1000,,0,,0.01,HS-38DH
US53,C,285307-003,1000,O5,0,8/12/2016,21,TRIDUS 39SH
US53,C,285308-001,1000,,0,,0.01,CARRIER
US53,B,285309-001,1000,"M3B,M10D",175,11/5/2024,27.35,"MOTOR FRAME, LM1 SERIES II"
US53,A,285310-001,1000,M8C,511,11/5/2024,42.09,"LAMINATIONS, E-CORE"
US53,C,285310-002,1000,,0,,0.01,"LAMINATIONS, E-CORE"
US53,C,285312-001,1000,,0,,0.01,BOBBIN
US53,C,285314-001,1000,,0,,0.01,COIL ASSY
US53,C,285314-002,1000,,0,,0.01,"COIL ASSY,WITHOUT SENSOR"
US53,C,285314-003,1000,,0,,0.01,COIL ASSY W/THERMOCOUPLE
US53,C,285536-001,1000,E6-D,0,,9.5,FLEXURE
US53,B,285746-001,1000,M5C,0,2/27/2023,3.85,"RIVET PLATE, FRAME JOINT"
US53,C,285747-001,1000,M5C,0,2/2/2024,2.75,"RIVET PLATE, LOAD ADAPTER"
US53,C,285762-001,1000,M5C,0,,0.06,"RIVET,SOLID, UNIVERSAL HEAD"
US53,C,285765-001,1000,M5D,0,11/21/2017,1.18,"FLEXURE DAMPING PAD, LM1"
US53,C,285765-002,1000,,0,,1.18,"FLEXURE DAMPING PAD, LM3"
US53,C,286081-001,1000,M5D,0,3/3/2023,1.24,CONNECTOR LM1 SERIES II
US53,C,286133-001,1000,M3B,0,12/6/2016,0.65,"TRANSFER TAPE, DIE CUT LM1"
US53,C,286134-001,1000,O5,0,8/12/2016,0.79,TRANSFER TAPE DOUBLE WIDE LM1
US53,C,286163-001,1000,M5C,0,11/19/2020,0.27,RIVET BLIND
US53,C,286164-001,1000,,0,,0.27,SCREW #2-56
US53,C,286450-001,1000,,0,,0.27,"SCREW, HEX HEAD 1/4-20"
US53,C,286461-001,1000,M5C,0,,0.09,SCREW #6-32
US53,C,286885-001,1000,,0,,0.79,"CONNECTOR,LM0"
US53,C,287067-001,1000,,0,,0.3,"FLEXURE DAMPING PAD, LM0"
US53,C,287073-001,1000,,0,,0.06,"BOBBIN, LM0"
US53,C,287080-001,1000,,0,,19.5,"RIVET, LOAD PLATE, LM0"
US53,C,287081-001,1000,,0,,1.5,"RIVET, FRAME JOINT, LM0"
US53,C,287179-001,1000,,0,,26,"MAGNET ASSY, MAGNETIZED,LM0"
US53,C,287179-002,1000,,0,,0.06,HS-38DH
US53,C,287179-003,1000,,0,,0.06,TRIDUS 39SH
US53,C,287965-001,1000,,0,,0.01,"LABEL, FINAL ASSY,IP,GMT968"
US53,C,290118-001,1000,,0,,0.06,"MAGNET ARMATURE ASSY, LMNEXT"
US53,C,291000-001,1000,,0,,0.06,"FLEXURE, LMNEXT"
US53,C,291168-001,1000,M2D,0,12/21/2016,"1,235.00","FRAME, LMNEXT"
US53,C,291170-001,1000,M3D,0,10/3/2018,10.25,"BUMP STOP, LMNEXT"
US53,C,291172-001,1000,,0,,0.06,"LOADPLATE, LMNEXT"
US53,C,291384-001,1000,,0,,42,HEAT SPREADER
US53,C,291486-001,1000,,0,,"1,146.53",STACK ASSY LMNEXT
US53,C,291696-001,1000,,0,,0.06,"LAMINATION, SINGLE, LMNEXT"
US53,B,293700-001,1000,MC1,60,4/25/2023,13.45,STACK CLAMP
US53,C,293902-001,1000,,0,,0.01,"COIL ASSY, LMNEXT"
US53,C,293930-001,1000,,0,,0.11,SHCS 4-40 X 5/8 LG
US53,C,293930-002,1000,,0,,0.11,SHCS 4-40 X 1/2 LG
US53,C,295450-001,1000,,0,,3.5,"FLEXURE, EDGE TREATED, LM0"
US53,C,295451-001,1000,,0,,0.01,"FLEXURE, LM0"
US53,C,295625-001,1000,,0,,44.78,"COIL ASSY, W/RTD LM0"
US53,C,295625-002,1000,,0,,0.01,COIL ASSY
US53,C,295625-003,1000,,0,,32.24,"COIL ASSY, W/THERMOCOUPLE"
US53,C,295644-001,1000,,0,,195,"CARRIER, LM0"
US53,C,295645-001,1000,,0,,187,"FRAME, LM0"
US53,C,295646-001,1000,,0,,13.57,"LAMINATIONS, ECORE, LM0"
US53,C,295655-001,1000,,0,,0.49,"TRANSFER TAPE,LOAD PLATE, LM0"
US53,C,295656-001,1000,,0,,0.49,"TRANSFER TAPE, FRM PLATE, LM0"
US53,C,295657-001,1000,,0,,2.8,"RIVET PLATE, LOAD ADAPTER"
US53,C,295658-001,1000,,0,,17.85,"RIVET PLATE, FRAME JOINT"
US53,C,295659-001,1000,,0,,0.85,"BUMP STOP, LM0"
US53,C,295667-001,1000,O5,0,4/25/2016,657.12,"ASSEMBLY, LM0"
US53,C,295667-002,1000,,0,,0.01,"ASSEMBLY, W/RTD, LM0"
US53,C,295725-001,1000,M3B,0,12/6/2016,0.87,"BUMP STOP, LM1 SERIES II"
US53,C,295764-001,1000,,0,,0.01,"CARTON, LM1"
US53,C,295765-001,1000,,0,,0.01,"CARTON, LM1"
US53,C,295781-001,1000,,0,,0.01,"EPS CAPS, LM1"
US53,C,295976-001,1000,,0,,0.01,PRODUCT LABEL W/DOM LM0
US53,C,296124-001,1000,,0,,0.3,"WASHER, FLAT, #6-32"
US53,C,298122-001,1000,,0,,58.38,"COIL ASSY, LM2"
US53,C,298864-001,1000,,0,,0.05,"LAMINATION,SINGLE,LM2"
US53,C,299017-001,1000,,0,,278.93,"LAMINATION, STACK, LM2"
US53,C,299017-002,1000,,0,,0.05,"LAMINATION STACK, LM2"
US53,C,300654-001,1000,MC2,0,5/27/2016,32.08,"HEATSINK PLATE, LM2"
US53,C,301112-001,1000,,0,,0.01,"END PLATE, LMNEXT"
US53,C,301124-001,1000,,0,,164.38,"COUPLER, LM2"
US53,C,301311-001,1000,,0,,124.18,"LOAD PLATE, LM2"
US53,C,302916-001,1000,,0,,173.46,"COIL ASSY, LM3"
US53,C,303211-001,1000,SO1-G,20,11/18/2016,131.31,"FLEXURE, LM2-R2"
US53,C,303221-001,1000,,0,,"3,356.38","MOTOR ASSY, LM2-R2, CUST REF"
US53,C,303221-002,1000,,0,,"3,448.87","MOTOR ASSY,LM2-R2,CUST REF,DUAL"
US53,C,303221-0030,1000,J3-C,0,3/8/2017,"3,238.46","MOTOR ASSY,LM2,SINGLE LP"
US53,C,303221-0040,1000,,0,,"3,332.33","MOTOR ASSY,LM2,DUAL LP"
US53,C,303221-0050,1000,V2-B,3,11/5/2024,"6,348.66","MOTOR ASSY,LM2,SINGLE LP"
US53,C,303677-001,1000,M5C,0,,0.28,"SCREW, HD W/FLANGE, M5"
US53,C,303997-001,1000,,0,,0.16,"COIL ASSY, LM2-R2"
US53,B,304067-001,1000,M2C,0,9/13/2016,707,"FRAME, LM2-R2"
US53,C,305673-002,1000,MC3,0,,14,"THERMOCOUPLE,TYPE K,PFA INS,30 AWG,2m"
US53,A,305674-001,1000,M4D,71,9/23/2024,79,"RTD SENSOR,1000 OHM"
US53,C,305796-001,1000,,0,,1,"PRODUCT LABEL, LM3"
US53,C,305796-002,1000,,0,,0.01,"PRODUCT LABEL, LM NEXT"
US53,C,306100-001,1000,,0,,31.69,"BLANK PLATE, LM2-R2"
US53,B,306324-001,1000,MC1,80,12/10/2024,22.51,"STACK CLAMP PLATE, LM2-R2"
US53,B,306325-001,1000,MC1,14,4/25/2023,31,"SENSOR TRIGGER, LM2-R2"
US53,C,306326-001,1000,MC1,0,8/17/2016,11.85,"FLEXURE CLAMP PLATE, LM2-R2"
US53,C,306330-001,1000,,0,,556,"MAGNET ARMATURE ASSY, LM2-R2"
US53,C,306370-001,1000,MC2,0,,3.24,SOCKET HEAD SHOULDER SCREW
US53,C,306387-001,1000,MC1,191,4/25/2023,4.25,"BUMP STOP, LM2-R2"
US53,C,306392-001,1000,MC2,0,,1.02,SOCKET HEAD SHOULDER SCREW
US53,C,306394-001,1000,MC2,0,,0.25,SOCKET HEAD CAP SCREW
